Feb 21 03:42:12: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): aaa/bbb
Feb 21 03:42:12: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): favicon.ico
Feb 21 03:42:12: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): favicon.ico
Feb 21 03:42:20: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): aaa/bbb
Feb 21 03:46:18: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): 
Feb 21 03:46:21: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): 
Feb 21 03:46:24: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): aaa/bbb
Feb 21 03:47:28: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): 
Feb 21 03:47:32: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): 3
Feb 21 03:47:35: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): t=3
Feb 21 03:47:39: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): t=3
Feb 21 03:47:40: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): 
Feb 21 03:48:18: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): t=20
Feb 21 03:48:21: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): t=20&
Feb 21 03:48:24: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): &t=20
Feb 21 03:48:46: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): ?t=3
Feb 21 03:48:48: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0): ?t=3
